animal,comp,condition,accuracy
A103R,"Heptanol
Octanol",bf,0.43999999999999995
A103R,"Hexanol
Heptanol",bf,0.6599999999999999
A103R,"Hexanol
Octanol",bf,0.67
A103R,"Pentanol
Heptanol",bf,0.53
A103R,"Pentanol
Hexanol",bf,0.39
A103R,"Pentanol
Octanol",bf,0.75
A137N,"Heptanol
Octanol",bf,0.51
A137N,"Hexanol
Heptanol",bf,0.52
A137N,"Hexanol
Octanol",bf,0.47000000000000003
A137N,"Pentanol
Heptanol",bf,0.6900000000000001
A137N,"Pentanol
Hexanol",bf,0.47000000000000003
A137N,"Pentanol
Octanol",bf,0.5700000000000001
A66Nt,"Heptanol
Octanol",bf,0.67
A66Nt,"Hexanol
Heptanol",bf,0.6900000000000001
A66Nt,"Hexanol
Octanol",bf,0.49000000000000005
A66Nt,"Pentanol
Heptanol",bf,0.76
A66Nt,"Pentanol
Hexanol",bf,0.48
A66Nt,"Pentanol
Octanol",bf,0.65
A75L1,"Heptanol
Octanol",bf,0.58
A75L1,"Hexanol
Heptanol",bf,0.41
A75L1,"Hexanol
Octanol",bf,0.51
A75L1,"Pentanol
Heptanol",bf,0.47000000000000003
A75L1,"Pentanol
Hexanol",bf,0.43
A75L1,"Pentanol
Octanol",bf,0.61
A88R1,"Heptanol
Octanol",bf,0.54
A88R1,"Hexanol
Heptanol",bf,0.55
A88R1,"Hexanol
Octanol",bf,0.51
A88R1,"Pentanol
Heptanol",bf,0.77
A88R1,"Pentanol
Hexanol",bf,0.8
A88R1,"Pentanol
Octanol",bf,0.74
A89Nt,"Heptanol
Octanol",bf,0.48
A89Nt,"Hexanol
Heptanol",bf,0.49000000000000005
A89Nt,"Hexanol
Octanol",bf,0.39
A89Nt,"Pentanol
Heptanol",bf,0.71
A89Nt,"Pentanol
Hexanol",bf,0.65
A89Nt,"Pentanol
Octanol",bf,0.6599999999999999
A94R1,"Heptanol
Octanol",bf,0.45999999999999996
A94R1,"Hexanol
Heptanol",bf,0.61
A94R1,"Hexanol
Octanol",bf,0.51
A94R1,"Pentanol
Heptanol",bf,0.65
A94R1,"Pentanol
Hexanol",bf,0.45999999999999996
A94R1,"Pentanol
Octanol",bf,0.47000000000000003
